geo
"[42.04112, -75.87374]"
"[26.1892778, -81.81534852]"
"[38.991166, -77.038232]"
"[39.5792, -104.876]"
"[30.34108666, -97.73028366]"
"[44.65900752, -85.74305534]"
"[32.250964, -111.004149]"
"[34.73894326, -92.28198939]"
"[34.083836, -118.177696]"
"[32.745831, -96.80672]"
"[46.0, -94.0]"
"[34.02, -118.5]"
"[37.5737, -77.4717484]"
"[42.346382, -88.2633023]"
"[34.0522342, -118.2436849]"
"[39.5314352, -119.81599431]"
"[36.8504561, -119.7943915]"
"[47.036955, -122.825092]"
"[37.3614238, -118.3996636]"
"[34.0633443, -117.6508876]"
"[42.94946707, -85.61476551]"
"[43.7079, -79.39396]"
"[38.2975381, -122.286865]"
"[25.95735013, -80.23753166]"
"[37.775, -122.418]"
"[40.63755759, -73.96574877]"
"[42.2428, -83.6183]"
"[38.85259, -77.04251594]"
"[40.8828407, -73.87933316]"
"[39.76490346, -86.16411769]"
"[39.40164106, -76.94777375]"
"[33.1931171, -117.3833369]"
"[35.225299, -80.837213]"
"[40.71071384, -74.00765227]"
"[28.331, -80.613]"
"[40.76123354, -73.98505513]"
"[40.7413638, -73.9989647]"
"[47.2164165, -122.4678568]"
"[47.5301011, -122.0326191]"
"[45.3708191, -122.8449456]"
"[33.7455731, -117.8678338]"
"[39.0942, -94.5837]"
"[40.7338499, -74.00067]"
"[34.12605828, -118.32604109]"
"[34.2793, -118.44817]"
"[40.75873044, -73.97910186]"
"[33.88230474, -117.8826631]"
"[40.81329924, -73.99672098]"
"[27.79583333, -82.79055556]"
"[25.8863999, -80.1307099]"
"[28.5335, -81.3758]"
"[39.77957, -86.30685]"
"[38.5815719, -121.4943996]"
"[45.52654246, -122.60249845]"
"[46.2452, -67.6215]"
"[33.59, -101.86]"
"[41.7589615, -70.4939317]"
"[42.34001, -83.05735]"
"[33.79, -84.47]"
"[39.728611, -104.981389]"
"[29.875016, -92.218675]"
"[25.540505, -103.460398]"
"[42.014105, -71.230497]"
"[36.657, -121.269]"
"[40.75465, -73.9931299]"
"[43.3833, -80.3167]"
"[33.57034, -101.9104]"
"[41.9191908, -87.6774929]"
"[35.9291, -86.8574]"
"[33.706966, -117.0844733]"
"[35.9291, -86.8574]"
"[46.9599271, -123.4709055]"
"[30.405899, -97.873952]"
"[34.0522, -118.243]"
"[39.24222222, -121.05444444]"
"[38.946, -77.079]"
"[37.32595358, -122.01515181]"
"[47.6683603, -122.3769582]"
"[41.97813, -87.80269]"
"[40.75575, -73.98556]"
"[43.0376, -75.3237]"
"[41.5723305, -81.5149002]"
